date,12QTTMCFTrend,12QTrendTTMEPS,14DayRSI,20DStochastic,3YAvgAnnEPSGrw,3YAvgAnnSalesGrw,4WChgFwd12MEPS,50DVolSig,52WSlope,5DMoneyFlowVol,60MAVGTTMEP,60MAVGTTMROA,60MAVGTTMROE,6MAvgChg1MRecC,6MChgTgtPrcGap,6MChgTgtPrcGapEMA,6MTTMSalesMom,8WChgFwd12MEPS,90DCV,AccrualRatioBS,AccrualRatioCF,Adj50DVolSig,AdjAccruals,AdjAstAdjChg1YFCF,AdjAstAdjChg3YFCF,AdjChgEPS,AdjChgEPStoSales,AdjEPSNumRevFY1C,AdjEPSNumRevFY2C,AdjFCFP,AdjIntCov,AdjInvPEGC,AdjRev3MFY1C,AdjRevMagC,Alpha12M6MPChg,Alpha36M6MPChg,Alpha60M,Amihud,AssetTurn,AstAdjChg1YCF,AstAdjChg1YEPS,AstAdjChg1YFCF,AstAdjChg1YOCF,AstAdjChg3YCF,AstAdjChg3YEPS,AstAdjChg3YFCF,AstAdjChg3YOCF,BVEV,BookLev,BuyBackChg,BuyToSellRecLess3MEMA,BuyToSellRecLess3MSMA,CACL,CFAst,CFEV,CFEqt,CFIC,CFP,CFROIC,CQDOHtoSales,CQDRItoSales,CQPTTMCFtoSales,CapAcqRatio,CapExToAst,CapExToSales,CashAdjEV,CashAst,CashBurn,CashCycle,CashEV,CashP,CashRatio,CashToSales,Chg1YAmihud,Chg1YFCF,Chg1YOCF,Chg1YOPM,Chg3YAstTo,Chg3YCF,Chg3YEPS,Chg3YFCF,Chg3YOCF,Chg3YOPM,Chg4QSalesTrend,ChgATO,ChgDeprCapex,ConsQPosChgTTMEPS,ConsQPosChginTTMCF,CurLiaP,DA,DIVIDENDGROWTH,DepToCapex,DivP,DivToCF,DivperShareGrowth,EBITEstDisp,EBITMargin,EP,EPSNumRevFY1C,EPSSurpC,EPSToSalesChg1Y,ETO,EbitToAst,EbitdaToAst,EstDiffC,FCFEV,FCFEqt,FCFP,FCFSales,FY2OverFY1Growth,FinLev,FwdFCFPC,GPMargin,GrPftToAst,HL1M,IO_BreadthStabBY,IO_Concentration,IO_InvDuration,IO_Level,IO_Level_AM,IO_TO,IndiDivP,IntCovRatio,InvPEGC,InvPEGYC,InvToAsset,InvToAst,InvToAstChg1Y,InvTurn,LTDA,LTDE,LTGC,LogAssets,LogMktCap,LogTTMSales,NIStab,NetProfitMargin,OCFAst,OCFEqt,OCFIC,OCFRatio,OCFStab,OEA,OEP,OPM,PAYOUTRATIO,PAdjChg1YCF,PAdjChg1YEPS,PAdjChg1YFCF,PAdjChg1YOCF,PAdjChg1YSales,PAdjChg3YCF,PAdjChg3YEPS,PAdjChg3YFCF,PAdjChg3YOCF,PAdjChg3YSales,PM5D,PTIP,PTIToNOA,PrcTo260DL,QuickRatio,RDInt,REToAst,ROA,ROA60MSlope,ROASTAB,ROAStddev20Q,ROE,ROEStab,ROEStddev20Q,ROIC,RONA,RecTurn,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,SEV,SGAToSales,SGAToSalesChg1Y,SP,SUEC,SalesAcc,SalesToEPSChg,SalesToInvCap,ShareChg,SharpeRatio,ShortIntTrdVol,SolvencyRatio,SusGrwRate,TTMEPStoTTMSales,TTMOverheadtoSales,TTMRecInvToSales,TotalAccruals,UnexpectedInvChg,UnexpectedRecChg,VolAdjRtn12M,WCA,WCAccruals,WCTurn,WCapToAst,WCapToSales,YoYChgDA
2018-06-30,,,,,4.20969966221837e-05,-9.947891523699966e-05,,,,,,,,,,,,,,-0.0001758409820929916,,,3.234489617372068e-05,,2.8058058894709806e-05,,,,,,,,,,,,,,-2.6220828175052018e-05,,,-0.00010224395367050821,,,,,3.500587718026966e-05,,,,,,-9.95695924613968e-05,,,,,,4.1393085014951427e-05,,,-5.280395791260005e-05,,,,-0.0004600323484562496,-0.0003866793092387448,,,,,-0.00011556391580444236,,,,,,-0.00011794837525514464,,-4.95132976889448e-06,,-3.114075359835698e-05,,0.0001255617064250198,-0.0005901729257432938,,,-0.00013101784239641614,,,-1.3746626048319954e-05,,,,0.00010693214529356552,,,,,7.144224366568135e-05,,,,,,,,-0.00013846345490791138,9.112106127134832e-05,,,,,8.674955113605324e-05,,,,,,,,,,,-0.00045714864123773294,,,,,,-0.0003920106103183428,,,-0.0012024414215558088,,,,-3.4731092013650995e-05,0.0003623581019863305,-0.0001375942341401384,,,,,,,,,-9.10387733677093e-05,,,,,-1.253443066129134e-05,-1.3466053942548375e-06,-0.00015607757617265146,-8.796521774182512e-05,,-9.684374959705497e-05,,-5.007974584097383e-05,-0.00019641566532510303,-4.523281202401423e-05,,,,,,,-0.00014444101651829995,,,,,,,,,,,0.00018988746490718514,,0.0010050993016870878,-0.00014589034544650536,-5.631439540330817e-05,,-0.000790359864784216,,,,,,,,,,-0.00013995461478680588,,-0.0010729554041442229,-0.00013713182705476655,,
2018-07-31,,,,,-0.0002076817175144001,-0.00014229192820077046,,,,,,,,,,,,,,-2.486701301347056e-05,,,-0.00013640556259113335,,-0.00021000553306189726,,,,,,,,,,,,,,6.573423778218954e-06,,,-0.00020114663253475453,,-0.0001603172268303358,,,-0.00021571978535038982,,,,,,-4.849123575454256e-05,,,,2.8318452637772426e-05,,-5.875055666782348e-05,-1.379298345685186e-05,,,,,,-0.00019223532212721866,-0.00018730946127709842,,,,,-5.035680646643129e-05,,,,,,-4.671874338528027e-05,,-0.00015275778919319625,,-0.0001730625568296967,,6.785996485125293e-05,,,,4.73876281478813e-05,,,5.1819352148199e-05,,,,7.47637853111511e-05,,,,,2.207850769000931e-05,,,,,,,0.0001679568839140357,0.0001575565995401625,1.5332398438000673e-05,,,,,-2.9087469700420737e-05,,,,,,,,,,,,,,-0.0004482632337499509,,,-4.625500117630509e-05,,,-0.00019369795848308842,,,,-4.881655268129262e-05,0.00031884323417951635,-1.3237755916693792e-07,,,,,,,,,-0.00011679010152410292,,,,,-0.00036982536029306595,-9.820908724433848e-05,-0.0002377749397471424,-8.346843126013135e-05,,2.1231908648952847e-05,,-0.00029990567296717477,-3.225236519344112e-05,,,,,,,,,,,,,,,,,,,2.3859310072678284e-05,0.0002152506621434108,0.00020951023836449938,2.805582328023073e-05,0.0003610384720855345,,-0.0004375985485927575,,,,,,,,,,-3.777225492725883e-05,,,-3.4790419506934206e-05,,
2018-08-31,,,,,2.2220200167876744e-05,0.00014429195221552917,,,,,,,,,,,,,,-0.00017078688012546817,,,7.0751059507165e-05,,0.00012528219521287695,,,,,,,,,,,,,,0.00021746102060613917,,,0.00018626454168061335,,0.00021735004294386312,,,0.00015255791506250659,,,,,,-2.88134092112603e-06,,,,5.212883316883938e-05,,0.00030136015702215534,4.3503861528031166e-05,,,,,,-7.354295403664636e-05,3.739776411729101e-05,,,,,-3.3508469942818626e-05,,,,,,-2.526464177501528e-05,,0.00014976452742290655,,-2.4662576847363336e-06,,0.00015487976972113277,,,,3.0503041531888447e-06,,,9.629860439859795e-05,,,,3.761358198251504e-05,,,,,5.7682911692545515e-05,,,,,,,0.001412988926238923,4.523997239541237e-06,4.903203595991493e-05,,,,,0.0003656391564439048,,,,,,,0.000506964637285236,,,,,,,,,,,,,-7.611997943723918e-05,,,,0.00014150009050006743,0.00029405282297124513,4.156644382180846e-06,,,,,,,,,5.479041056023639e-05,,,,,-8.880552123984343e-05,5.538109811162079e-05,,0.00014444230202951435,,9.050409097336697e-05,,8.370849481518205e-06,8.611790425759711e-05,,,,,,,,,,-0.00021086317154280174,,,,,,,,,0.0002512144233742714,0.0003984117194981137,-0.0009261840045479413,0.0005584838440704489,0.00011802235836310155,,-0.00022157678711113828,,0.0007010626110179844,,,,,,,,8.945468552213047e-06,,,1.4118237557343579e-05,,
2018-09-30,,,,,-4.016282263182348e-05,-2.1012326793280728e-05,,,,,,,,,,,,,,4.357317051552572e-05,,,1.8971939366406917e-05,,1.0833265349881596e-06,,,,,,,,,,,,,,-5.9121390879935006e-05,,,-4.310875633611534e-05,,-0.00016186585415691395,-0.0001741199544665715,,-1.3860257363243722e-05,,,,,,1.2929820275052245e-06,,,,-0.00011815228158397383,,-8.463857909127959e-05,-0.00015144102555576133,,,,,,-0.00033444808128613044,-1.5619238850517355e-06,,,,,,,,,,,1.670551169009558e-05,,-2.7076431595523466e-05,,-3.207962532806615e-05,,0.0002642452907170911,,,,-3.8278164098628134e-05,,,-0.0002467042663230377,0.0006300294837567551,,,-0.00016666187754873246,,,,,-2.2053951343805593e-05,,,,,,,0.0007418235486833712,8.899686962418175e-05,4.07037344615063e-05,,,,,-0.00017438396115736115,,,,,,,9.90220457771836e-05,,,,,,,,,,,,,,,,,-3.125457353911952e-06,4.475278029447733e-05,2.1333812144226833e-05,,,,,,,,,-0.00021359933091194054,,,,,2.3651150196460586e-05,-7.153365685878118e-06,,-3.2808884579316346e-05,,-6.414696427927692e-05,,8.654047466163423e-06,8.623039371634139e-06,,,,,,,,,,-0.0005640139174627005,,,,,,,,,0.0006539507404601173,-7.180673885109437e-05,0.001503056174843533,-6.927861996120181e-05,-0.00014316620081787596,,,,-0.00047923382394547177,,-4.788539371153107e-05,,,,,,1.8835223311522815e-06,,,-9.916126286602658e-07,,
2018-10-31,,,,,-2.265235495957377e-05,-2.8961312268412733e-05,,,,,,,,,,,,,,0.0002289170804796655,,,0.00015881741381160438,,-2.5592369747881772e-05,,,,,,,,,,,,,,2.0653711707287804e-05,,,,,-7.177260510514614e-05,-0.0002790391964737854,,3.752239893380823e-06,,,,,,-5.6297778268852996e-05,,,,2.544434944093506e-05,,0.00025010969472657075,-1.5050420840661325e-05,,,0.00017217208768527628,,,,-0.00020037164793355959,,,,,,,,,,,2.067305439575674e-05,,5.111274689268503e-06,,5.4865694004159876e-05,,-0.0006020393491173977,,,,-2.8206811419453828e-05,,,-3.127302335226006e-05,-0.00013165396526601574,,,-1.878297778879e-05,,,,,-0.0003010345099894146,,,,,,,-4.924989537759906e-05,0.0004007253661551196,4.637961712600716e-05,,,-6.658850117492313e-05,,-8.546167359049553e-05,,,,,,,0.0001853620190178257,,,,,,,,,,,,,,,,,-1.1792836966918433e-05,-0.00010854154731809117,9.518952450272254e-05,,,,,,,,,3.179745194019554e-05,,,,,-2.4708377944600015e-05,3.0617226167729064e-05,,0.000518913776768325,,-9.335062517231042e-05,,-5.83574314616804e-05,-4.7894210462742814e-05,,,,,,,,,,-2.6437873788474123e-05,,,,,,,,,-1.7045937507968454e-05,0.0006181063406068819,0.0012940578617022253,0.0001449377202809658,0.0008979214833446382,,,,-0.000994969105209378,,0.00010647540192289727,,,,,,-6.462321776836765e-05,,,-7.546807095693164e-05,,
2018-11-30,,,,,5.4375451826274644e-05,2.3199487894150884e-05,,,,,,,,,,,,,,-7.066517120392354e-05,,,-1.7171694626219454e-05,,-5.052318787043345e-05,,,,,,,,,,,,0.0021239733346880966,,-6.676856826429689e-06,,,,,,,,0.00021880120259605153,,,,,,-8.92692559349936e-06,,,,8.729913019480426e-06,,7.471525252812976e-05,1.2767774113966832e-05,,,-0.0002883790835248366,,,,2.373049406899761e-05,,,,,,,,,,,-4.048464545367284e-06,,8.068565435737073e-05,,0.00024115335167553472,,-0.00039169833047799924,,,,2.507416779455437e-05,,,2.8804992423489095e-05,-0.0004153942998097456,,,6.005871719417008e-05,,,0.0009744961953977503,,1.8753485564111517e-05,,-0.0002902006237138182,,,,,-0.0005881851259046274,-0.0001562066860940853,-4.5606997895637227e-05,,,-0.00011881969862231214,,2.08070622458245e-05,,,,,,,0.000556158192087436,,,,,,,,,,,,,,,,,9.224597720825135e-06,6.620404983810705e-05,8.968531637814985e-05,,-8.224952213030964e-06,,,,,,,-0.00051849708945589,,,,,-9.213030123429393e-05,0.00018510504540858447,,0.00025951769359974336,,1.4374760018110988e-05,,,5.071772928356354e-05,,,,,,,,,,,,,,,,,,,-3.536129370404647e-05,1.8031604323669998e-05,0.0008074830820552267,-0.0002199506015098674,0.00031264589756716134,,,,0.00014072568588494426,,0.0001390433613087477,,,,,,1.0218059338962641e-06,,,-1.1982558176638453e-05,,
2018-12-31,,,,,0.00020019026358100944,-2.2754118533261954e-05,,,,,,,,,,,,-0.0010870120318540507,,0.0007037149039267628,,,-0.0001804500748823973,,0.0009963750836242814,,,,,,,,,,,,-0.002000129927539987,,7.29161964011678e-05,,,,,,,,,,,,,,,,,,5.663148995352585e-05,,0.00010559730643002846,2.6540088812729486e-05,,,6.806319442532747e-05,,,,0.0001337887444693384,,,,,,,,,,,0.0005247651150427038,,0.00025316062620264437,,,,-6.302590612576561e-05,,,-0.00011152737402201002,6.121064545003805e-05,,,1.5005518269404856e-05,,,,7.417101332921268e-05,,,0.0003657009595104089,,-3.330515498120351e-05,,-0.00048754800666653053,,,,0.00031080837592381214,0.00036266093672864485,0.00011778919341719814,0.00020331002109342513,,,-0.0002652786225974571,,1.1096418669570053e-05,,,,,,,-0.00023368045544915492,,,,1.8470700324031237e-05,,,-4.7597433011825125e-06,,,,,,,,,,9.061326480330298e-05,0.00012422583613859808,0.00043408274404219344,,0.0005233588411141565,,,,,,,,,,,,4.46789379868954e-05,0.00023972033638578423,7.333951383102205e-05,0.0008021266803517129,,3.5396611718700716e-05,,,,,,,,,,,,1.016103365124537e-05,,,,,,,,,,-0.0003591465593661432,0.00010782677795050089,,-2.8133818082062984e-07,-0.0003375959589819432,,,,-6.422576978688791e-05,,5.2379650458510324e-05,,,,,,,,-0.00018115466856371288,1.978362889455642e-05,,
2019-01-31,,,,,-0.0001828287759213365,-3.786665896586908e-05,,,,-0.0004534295819924119,,,,,,,,,,-0.0011023183935913287,,,-0.00037774511519870336,,-0.00039842501523172554,,,,,,,,,,,,,,-0.00010140351641889253,,,,,,,,,,,,,,,,,,-4.730560303116426e-05,,-0.00021669574720063387,-0.00025820282880488645,,,-0.00018173346329310603,,,,-0.0003126990296940989,,,,,,,,,,,-0.00021188735237168854,,-6.459724776636486e-05,,,,-6.171367348064787e-05,,,-5.401467222390786e-05,-0.0001693038009507934,,,-7.867746699610675e-05,,,,0.00023457539758706797,,,8.952203906338932e-05,,-5.843744746817208e-06,,-1.3249629045614114e-05,,,,0.0001411049911526764,2.4059012454982925e-05,0.0005085211546248749,-0.00022353875005627475,,,,,-0.00015070887075812898,,,,,,,0.00017465737646525688,,,,-4.850540658223461e-05,,,0.0001089633690842803,,,-6.37490346737131e-05,,,,,,,-0.00037623530078453876,2.79516016298348e-05,-0.0005640684556672903,,-0.00034405505366378876,,,,,,,,,,,,-0.0002131134096340068,-0.00030750100003780695,-0.00029348982543897067,-0.0002955479454239717,,-0.00015014626470216392,,,,-0.00027375999783010277,,,,,,,,-0.00019664563025658877,,,,,,,,,,-2.187849048906676e-05,-0.00015697537012790994,,-2.009595338030016e-05,-9.67909338634171e-05,,,,9.500660594285885e-05,,-4.750662905035219e-05,,,,,,,,-0.0004085111576436708,-1.1360134993229063e-06,,
2019-02-28,,,,-0.00028323609487044464,0.00022521740515026316,,,,,-0.00020245077572604974,,,,,,,,0.00021736529273140692,,-7.094317545306668e-05,,,1.7851164009132046e-05,,0.0006426146370101438,,,,,,,,,,,,,,2.8109602815163005e-05,,,,,,,,,,,,,,,,,,0.0001718774795751766,,4.300214082607193e-05,,,,0.00015017223983138388,,,-4.1128770815175885e-05,7.763806685434632e-05,,,,,,,,,,,-0.0002658039002900648,,0.00012553116170840325,,,,,,,9.640915745469229e-05,-0.0002779589622258479,,,0.00024307336790381503,,,,0.0002897507164719729,,,-0.0010086544087682778,,8.580312325321396e-05,,1.9961627534080192e-05,,,,7.179976083420886e-05,0.0002453291384702522,0.00014524137919938614,0.000123155510936805,,,,,8.836984872545857e-05,,,,,,,0.0004325226291551421,,,,-0.00022430893836492325,,,0.0005256768069278149,,,0.00018879856435369353,,,,,,,4.32174997613914e-05,0.0003600482537219264,5.299808782848728e-05,,,,-0.0004843368845419835,,,,,,,,,1.625755810060667e-05,5.4286960051106974e-05,0.000296727152979478,4.3607204957443186e-05,-0.0003103560044766578,,0.00029665268199901396,,,,,,,,,,,,9.734644016741876e-05,,,,,,,,,,8.558330361710101e-05,8.41992294799017e-06,,2.0818100953219803e-05,-5.3141195845626085e-05,,,,0.0002114225171918493,,4.449811856880822e-06,,,,,,,,-0.0001248545673794806,-1.5899515641627126e-05,,
2019-03-31,,,,-0.0003684319503550048,5.964180841384017e-05,,0.00012440858849270794,,,4.757222899392933e-05,,,,,,,,0.0008490173157339117,,0.00011319363178298892,,,-5.819475391162875e-05,,4.141495530335501e-05,,,,,,,,,,,,,,3.0558467779993005e-05,,,,,0.00016291260031290364,0.00024559309736435465,,,,,,,,,,,,8.352581962283145e-05,,7.523676414710864e-05,,,,0.00030110415270882346,,,-0.0008199870879595926,-0.00015900824767279184,,,,,,,,,,,,,0.0001726188245788478,,,,,,,-3.7851864485563816e-05,4.713173780455492e-05,,,6.995206206692656e-05,,,,0.00021032050456249837,,,-0.00025717742399733196,,9.233519549597327e-05,,5.558731110355477e-05,,,,-0.0003395670665738239,-4.847270231746511e-06,-0.00021749091431612515,0.0002595036486080193,,,,,9.913336229301343e-05,,,,,,,0.00020210568338674818,,,,-2.1447162950945875e-05,,,-0.0001540037306751784,,,0.00018163649257444732,,,,,,,0.00021293853304865616,-4.889008147129971e-07,7.404720208761549e-07,,,0.0002006475689043862,,,,,,,,,,9.296803951430862e-05,7.4883398957128e-05,3.30588312254781e-05,-2.001229210055382e-05,0.00024255056945236863,,0.0001008858405278713,,,,,,,,,,,,8.299461031211925e-05,,,,,,,,,,4.5172380302703615e-05,-8.409223804662903e-06,,1.0914627805898023e-05,,,,,-5.214819516716966e-05,,3.8349100294618986e-05,,,,,,,,,0.0001188407484535643,,
