factorAbbreviation,factorName,styleName,cagr,tstat,newey_west_tstat,rank_score,rank_style,rank_total
TotalAccruals,Balance Sheet Accruals,Earnings Quality,0.084171726396987,4.70393329532415,5.010190268952922,4.70393329532415,1.0,1.0
CQPTTMCFtoSales,Num of Qtrs of Pos Chgs in TTM Cash Flows/TTM Sales,Historical Growth,0.17213319272145355,4.656590921046883,6.651952500674328,4.656590921046883,1.0,2.0
BookLev,Book Leverage,Volatility,0.09567371617264797,4.0187056244648565,4.555159217360562,4.0187056244648565,1.0,3.0
Chg1YFCF,1Y Chg in Free Cash Flow per Share,Historical Growth,0.0714108121500745,3.897449001027325,3.6113089454467913,3.897449001027325,2.0,4.0
Rev3MFY1C,3M Revision in FY1 EPS Estimate,Analyst Expectations,0.08703425919866192,3.6686186916101313,3.0617710177386863,3.6686186916101313,1.0,5.0
CapExToAst,Capital Expenditure to Total Assets,Capital Efficiency,0.06949193032195367,3.665427390444789,3.477253670795668,3.665427390444789,1.0,6.0
PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.06684266248794923,3.577518092409108,3.008521989009272,3.577518092409108,3.0,7.0
UnexpectedInvChg,Unexpected Inventory Change,Earnings Quality,0.09906805601746638,3.4644181035691144,3.194786121926519,3.4644181035691144,2.0,8.0
PAdjChg1YCF,1Y Chg in Cash Flow to Price,Historical Growth,0.06141421085284371,3.4086921600612308,2.890534723844291,3.4086921600612308,4.0,9.0
ETO,Equity Turnover,Earnings Quality,0.07119694049031522,3.3886389243537636,3.9975498621984693,3.3886389243537636,3.0,10.0
OEP,Operating Earnings to Price Ratio,Valuation,0.11213797284589244,3.3177065913426005,2.9858693922658346,3.3177065913426005,1.0,11.0
PAdjChg1YSales,1Y Chg in Sales to Price,Historical Growth,0.07008249467243322,3.309333292007139,3.603764249624135,3.309333292007139,5.0,12.0
RevMagFY1C,Street Revision Magnitude,Analyst Expectations,0.07940657280773666,3.2998346460375703,2.945710577068428,3.2998346460375703,2.0,13.0
AdjInvPEGC,Adjusted Inverse PEG,Analyst Expectations,0.09057813605469689,3.2690720489732246,4.071138131728463,3.2690720489732246,3.0,14.0
LogAssets,Log of Total Last Quarter Assets,Size,0.09841911946774662,3.2660167734723653,2.694888010599739,3.2660167734723653,1.0,15.0
OCFEV,Operating Cash Flow to Enterprise Value,Valuation,0.07232341040138368,3.2579587520660582,2.543062755217502,3.2579587520660582,2.0,16.0
ROAStddev20Q,ROA 20 Qtr Standard Deviation,Earnings Quality,0.09213220103673536,3.255450996266614,3.092574295602656,3.255450996266614,4.0,17.0
InvPEGYC,Inverse P/E Ratio Adj for Growth and Yield,Valuation,0.09137128128727556,3.2115795210014855,2.8421253827139488,3.2115795210014855,3.0,18.0
ChgATO,Change of Asset Turnover,Historical Growth,0.11772168166592611,3.1778373196663323,2.9624958456518193,3.1778373196663323,6.0,19.0
PTIP,Pretax Income Per Share to Price,Valuation,0.11260972090060983,3.1694209252982986,2.365917370846289,3.1694209252982986,4.0,20.0
ShortIntTrdVol,Short Interest Trading Volume,Price Momentum,0.08351699674699709,3.1366454133059096,3.80980811949915,3.1366454133059096,1.0,21.0
PAdjChg3YOCF,3Y Chg in Operating Cash Flow to Price,Historical Growth,0.07969757794084886,3.1039932022736063,3.070860715839134,3.1039932022736063,7.0,22.0
EP,Earnings to Price,Valuation,0.09437228109491946,3.0958184008725467,2.4975133244038203,3.0958184008725467,5.0,23.0
SalesToInvCap,Sales to Invested Capital,Earnings Quality,0.06889728940984075,3.0834094256652502,3.8091323713413447,3.0834094256652502,5.0,24.0
CurLiaP,Current Liability to Price,Valuation,0.11675413974116422,3.0691584212391017,2.710144014899657,3.0691584212391017,6.0,25.0
CapExToSales,Capital Expenditure to Sales,Earnings Quality,0.06040397162804623,3.0637303760934906,3.7539562703198106,3.0637303760934906,6.0,26.0
FCFEV,Free Cash Flow to Enterprise Value,Valuation,0.0548648371164111,3.0347561136891303,2.878860507013612,3.0347561136891303,7.0,27.0
DA,Debt to Assets Ratio,Capital Efficiency,0.052919671379328515,3.031514235494243,3.028083477052605,3.031514235494243,2.0,28.0
ConsQPosChginTTMCF,Number of Consecutive Qtrs of Pos. Changes in TTM Cash Flows,Historical Growth,0.12275426749701257,3.02683113712417,3.555971441667108,3.02683113712417,8.0,29.0
AstAdjChg1YEPS,1Y Chg in Asset Adjusted EPS,Historical Growth,0.07479900483230639,3.020809635642108,3.5403095644372486,3.020809635642108,9.0,30.0
Chg1YOPM,1Y Chg in Operating Margin,Historical Growth,0.07202011348112758,2.998726144007066,2.7476108416586507,2.998726144007066,10.0,31.0
EBITDAP,EBITDA to Price,Valuation,0.10049691850624565,2.977204131881819,2.7464087797617163,2.977204131881819,8.0,32.0
Rev3MFY2C,3M Revision in FY2 EPS Estimate,Analyst Expectations,0.0808859212335793,2.9625160459870608,2.7786719614154234,2.9625160459870608,4.0,33.0
CFEV,Net Cash Flow to Enterprise Value,Valuation,0.09099978756576976,2.937789975349947,2.5111305955223324,2.937789975349947,9.0,34.0
AccrualRatioCF,Accrual Ratio - Cash Flows,Earnings Quality,0.055998867525639096,2.923577251911605,3.3041181640908066,2.923577251911605,7.0,35.0
WCAccruals,Working Capital Accruals,Earnings Quality,0.06007429630616046,2.9186531749222615,2.9300413501373286,2.9186531749222615,8.0,36.0
AdjRevMagC,Adjusted Revision Magnitude,Analyst Expectations,0.07591800530475212,2.9161801206485434,3.2290180012167164,2.9161801206485434,5.0,37.0
ROE,Return on Equity,Capital Efficiency,0.07242085721321456,2.9100259605036514,3.9785845749878876,2.9100259605036514,3.0,38.0
AdjAstAdjChg1YFCF,Adj 1Y Chg in Asset Adjusted FCF,Historical Growth,0.08538123830373112,2.9009146058991657,2.8452173759744688,2.9009146058991657,11.0,39.0
EPSSurpC,Earnings Surprise,Analyst Expectations,0.06422950803344962,2.8997084979750416,2.3109804541678285,2.8997084979750416,6.0,40.0
OEA,Operating Earnings to Assets Ratio,Earnings Quality,0.10192672299721939,2.8964251901417737,3.4975372774080826,2.8964251901417737,9.0,41.0
WCapToSales,Working Capital to Sales,Earnings Quality,0.08489282049010072,2.8948508477823327,3.7268412924811076,2.8948508477823327,10.0,42.0
EbitdaToAst,EBITDA to Assets,Capital Efficiency,0.08763837553342113,2.8938964078454275,3.6595122646055596,2.8938964078454275,4.0,43.0
LTDA,Long Term Debt to Assets Ratio,Capital Efficiency,0.056282060401781964,2.890029057403978,2.3861557449884416,2.890029057403978,5.0,44.0
SP,Sales to Price Ratio,Valuation,0.09683051903100104,2.8868179040375126,2.809239731658224,2.8868179040375126,10.0,45.0
CashEV,Cash to EV Ratio,Valuation,0.061722346958577035,2.878177718267168,2.3608309777788454,2.878177718267168,11.0,46.0
OCFP,Operating Cash Flow to Price,Valuation,0.08051120241808318,2.8754483090685263,2.4115143043168885,2.8754483090685263,12.0,47.0
EBITDAEV,EBITDA to Enterprise Value,Valuation,0.0839112459615301,2.8723408209914845,2.453403742114494,2.8723408209914845,13.0,48.0
AdjAccruals,Adjusted Accruals,Earnings Quality,0.05805767051529909,2.870588350364367,3.755095936308013,2.870588350364367,11.0,49.0
AccrualRatioBS,Accrual Ratio - Balance Sheet,Earnings Quality,0.05636528067648516,2.85985110340811,2.8130066079618423,2.85985110340811,12.0,50.0
AdjEBITP,Adjusted EBIT to Price,Valuation,0.08886075740138066,2.812508997292985,2.4779916912947493,2.812508997292985,14.0,51.0
InvPEGC,Inverse PEG,Analyst Expectations,0.0701106427088467,2.7942910102296126,3.2045131196576833,2.7942910102296126,7.0,52.0
DivperShareGrowth,Dividend per Share Growth,Historical Growth,0.056743852232943315,2.7932060308709263,2.7697256859805712,2.7932060308709263,12.0,53.0
GPMargin,Gross Profit Margin,Earnings Quality,0.07696596177176751,2.7799073474804388,2.6130084023558413,2.7799073474804388,13.0,54.0
AstAdjChg1YOCF,1Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.05322065368287676,2.753947893130456,3.012420563441381,2.753947893130456,13.0,55.0
ROA,Return on Assets,Capital Efficiency,0.1007949125656209,2.744673875983794,3.6258356139671464,2.744673875983794,6.0,56.0
TobinQ,Tobin's Q Ratio,Capital Efficiency,0.11547399595274355,2.728940109735396,2.329367267778515,2.728940109735396,7.0,57.0
PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.057422126222097525,2.708110056863,2.8624545037316054,2.708110056863,14.0,58.0
AdjChgEPStoSales,Change EPS to Sales,Earnings Quality,0.051524566937002136,2.705096758161568,2.6092739045181155,2.705096758161568,14.0,59.0
SEV,Sales to EV Ratio,Valuation,0.08495360346656455,2.6818319610730432,2.3155340656641563,2.6818319610730432,15.0,60.0
CashP,Cash to Price,Valuation,0.0969806200559582,2.668957025792368,2.091652907564063,2.668957025792368,16.0,61.0
60MAVGTTMEP,Normalized EP,Valuation,0.10415556603929677,2.667465523795863,2.4677830565762044,2.667465523795863,17.0,62.0
RecTurn,Receivables Turnover Ratio,Capital Efficiency,0.04875507374738319,2.66433600257852,3.2650162826441864,2.66433600257852,8.0,63.0
PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.04814577300989442,2.6561735521158214,2.467143034706553,2.6561735521158214,15.0,64.0
AstAdjChg1YCF,1Y Chg in Asset Adjusted Cash Flow,Historical Growth,0.07097765222136365,2.6550282133775545,2.966314115984897,2.6550282133775545,16.0,65.0
AdjRev3MFY1C,Adjusted 3M Revision in FY1 EPS Estimate,Analyst Expectations,0.0919865042038468,2.643798001649905,3.296602990359381,2.643798001649905,8.0,66.0
EPSToSalesChg1Y,Year over Year Change of EPS to Sales,Earnings Quality,0.055409323505026364,2.628051855759628,2.5543001467026034,2.628051855759628,15.0,67.0
EbitToAst,EBIT to Assets,Capital Efficiency,0.0669002553732767,2.61154145243295,3.3089985556054815,2.61154145243295,9.0,68.0
CFP,Net Cash Flow to Price,Valuation,0.07478856200707984,2.5937815346564443,2.4071973062791034,2.5937815346564443,18.0,69.0
EPSStab,EPS Stability,Historical Growth,0.04612673980972559,2.575275883700875,3.192751419986036,2.575275883700875,17.0,70.0
PAdjChg1YFCF,1Y Chg in Free Cash Flow to Price,Historical Growth,0.04628715071171863,2.536356056558159,2.4008504906085926,2.536356056558159,18.0,71.0
AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.05178739805743793,2.535605159834458,2.4195883873700432,2.535605159834458,19.0,72.0
Chg1YOCF,1Y Chg in Operating Cash Flow per Share,Historical Growth,0.05975980431383254,2.4951091837826915,2.436320877667001,2.4951091837826915,20.0,73.0
LTGC,Expected LTG,Analyst Expectations,0.08738051186835838,2.47694794861434,2.3588714837272433,2.47694794861434,9.0,74.0
6MTTMSalesMom,6M Momentum in Trailing 12M Sales,Historical Growth,0.05119351997178878,2.4726421588798613,2.179338859138949,2.4726421588798613,21.0,75.0
CFAst,Cash Flow to Total Asset,Earnings Quality,0.09377084132324631,2.4398654376337365,2.693981407740169,2.4398654376337365,16.0,76.0
DepToCapex,Depreciation to Capex Ratio,Earnings Quality,0.047807335914979765,2.3808822236864113,2.737058758360033,2.3808822236864113,17.0,77.0
IntCovRatio,Interest Coverage Ratio,Capital Efficiency,0.05413787975088691,2.379002124664336,2.8069002767993867,2.379002124664336,10.0,78.0
TTMEPStoTTMSales,Trailing 12-Month Earnings/Trailing 12-Month Sales,Earnings Quality,0.0910130031894123,2.376897439127211,2.8866287589405717,2.376897439127211,18.0,79.0
BP,Book to Price,Valuation,0.10624343006722725,2.365294528899642,1.931852806115305,2.365294528899642,19.0,80.0
SolvencyRatio,Solvency Ratio,Valuation,0.09079930651100176,2.357881968881273,2.0069867655781715,2.357881968881273,20.0,81.0
52WSlope,Slope of 52W Price Trend,Price Momentum,0.109767743376046,2.348223812630991,2.386087453757915,2.348223812630991,2.0,82.0
AstP,Assets to Price Ratio,Valuation,0.0983922234329202,2.331158953640592,2.1363457556655163,2.331158953640592,21.0,83.0
EPSEstDispFY2C,Analyst Dispersion for FY2 EPS,Analyst Expectations,0.10668404072016902,2.3308751515167705,2.2356011671713936,2.3308751515167705,10.0,84.0
CFEqt,Cash Flow to Equity,Valuation,0.07903304964840663,2.3298695133592253,2.992281106698798,2.3298695133592253,22.0,85.0
AdjIntCov,Adjusted Interest Coverage Ratio,Capital Efficiency,0.058475899611962756,2.3274800123733552,2.378507163583123,2.3274800123733552,11.0,86.0
PAdjChg3YSales,3Y Chg in Sales to Price,Historical Growth,0.054527300298816916,2.304495433904375,2.0410507806259806,2.304495433904375,22.0,87.0
AdjEBITDAEV,Adj. EBITDA to Enterprise Value,Valuation,0.06615199923819204,2.2931904925516466,2.3597357277478066,2.2931904925516466,23.0,88.0
AdjChgEPS,Adj 1Y Chg in Earnings per Share,Historical Growth,0.06593160410998755,2.287575895409152,2.460465084211705,2.287575895409152,23.0,89.0
TTMRecInvToSales,Trailing 12-Month Receivables and Inventories/Trailing 12-Month Sales,Historical Growth,0.15443337587892958,2.275493607849146,1.7982741274971104,2.275493607849146,24.0,90.0
FwdEPC,Forward Earnings to Price,Valuation,0.0786750363543165,2.273765887194387,2.154203809294771,2.273765887194387,24.0,91.0
CFIC,Cash Flow to Invested Capital,Earnings Quality,0.04580638368393264,2.269535054614156,3.546745308798588,2.269535054614156,19.0,92.0
CQDRItoSales,Num of Quarters of Declines in Receivables and Inventories/TTM Sales,Historical Growth,0.053515805525865545,2.266460140964902,2.6712036603371887,2.266460140964902,25.0,93.0
SGAToSalesChg1Y,Year over Year Change in SGA to Sales,Earnings Quality,0.0673027670203501,2.2568596481509013,2.0318380509311287,2.2568596481509013,20.0,94.0
GFP,Growth Flow to Price,Valuation,0.09598229554459992,2.243758385713212,2.2810892401164273,2.243758385713212,25.0,95.0
IndiDivP,Indicated Annual Dividends to Price Ratio,Valuation,0.1023549837949762,2.2384779485312127,1.7785348119989628,2.2384779485312127,26.0,96.0
AdjFwdEPC,Adjusted Forward Earnings to Price,Valuation,0.07709435526393937,2.2362012722091156,2.141351849457168,2.2362012722091156,27.0,97.0
Chg1YEPS,1Y Chg in Earnings per Share,Historical Growth,0.035064820867177104,2.2357898608986395,1.985016641692303,2.2357898608986395,26.0,98.0
AdjEPSNumRevFY2C,Adj Number of EPS FY2 Revisions,Analyst Expectations,0.060091782655699255,2.2284479865612603,3.0162763015305036,2.2284479865612603,11.0,99.0
AssetTurn,Asset Turnover,Earnings Quality,0.04668338433992414,2.2158524824058476,2.3639368363857174,2.2158524824058476,21.0,100.0
BVEV,Adjusted Book to Enterprise Value,Valuation,0.0847747149694853,2.2011242140969878,1.9641140953154133,2.2011242140969878,28.0,101.0
