date,cew_return,ew_return,ew_all_return,ew_top50_return,cew_cumulative,ew_cumulative,ew_all_cumulative,ew_top50_cumulative
2018-06-30,-0.006254281557989878,-0.006958255325262013,-0.006272563876782836,-0.006958255325262012,0.9937457184420101,0.9930417446747379,0.9937274361232171,0.9930417446747379
2018-07-31,-0.0038391434505853092,-0.005320792425263287,-0.0021423904709185274,-0.005141530272913472,0.9899305860755062,0.9877579756817023,0.9915984839333764,0.987935990482226
2018-08-31,0.003907848034516563,0.0060232830702515614,0.0019544512369990374,0.004454158134554733,0.9937990843706092,0.9937075215741319,0.9935365148169064,0.9923364136106518
2018-09-30,0.0013320956994082255,-0.0025035750237538553,-0.0012278738342300184,-0.0027673302938181978,0.9951229198569751,0.9912197002422025,0.9923165773270106,0.9895902909916082
2018-10-31,0.0010384104625664999,-0.001903153643977949,-2.4424225859329224e-05,-0.0010603661743962519,0.9961562659084943,0.9893332568577038,0.992292340762802,0.9885409629205298
2018-11-30,0.004145172584508959,0.0023644366794435463,0.0014600662363769006,0.0025358587591028325,1.000285505551825,0.9916724726984115,0.9937411533061652,0.9910477631800839
2018-12-31,0.0007979959870080483,0.004483618382027782,0.003907388812566289,0.004494580581162466,1.0010837293711177,0.9961187536259531,0.9976240863711804,0.9955021072114776
2019-01-31,-0.005770234933666581,-0.00852958844231318,-0.0054022984568281975,-0.0093049077655698,0.9953072410643752,0.9876222706178538,0.9922346233088828,0.9862390519234444
2019-02-28,0.0027812234250009973,0.004982979218078656,0.0019520934848671835,0.004809247650115672,0.9980754128782966,0.9925435718676542,0.9941715580525037,0.9909821197663594
2019-03-31,0.0014423709432377996,0.003110032699570311,0.00137290493225325,0.002642156141231515,0.9995150078529924,0.995630414831911,0.9955364610880599,0.9936004492599507
2019-04-30,0.00474214699537969,0.004127104368214783,-0.0012537098714300637,0.004001445153809836,1.0042548549443193,0.9997394854660911,0.9942883471994253,0.9975762869624651
2019-05-31,0.00035115401982516685,0.005697265617779201,0.004402011559894222,0.005228588339161866,1.004607503073562,1.0054352668633733,0.9986652159976652,1.0027922027039013
2019-06-30,0.0020996350084573827,-0.00044295547575354016,0.0012175078212071084,-0.0014168825538146807,1.0067168121567742,1.0049899038064003,0.9998810987089098,1.0013713639267887
2019-07-31,0.003377100884688259,0.005139329416269169,0.0013664034103453274,0.0055898793429170045,1.0101165963937395,1.0101548779820861,1.0012473396521255,1.0069689090285916
2019-08-31,0.0027328708894639358,0.004488831007610717,0.004208811762521273,0.004452441958246956,1.0128771146349882,1.0146892925208615,1.0054614012324465,1.0114523796498007
2019-09-30,-0.001174227987024019,-0.0045737784585249755,-0.006016352339979083,-0.0042699665010815955,1.0116877659795676,1.0100483284926336,0.9994121911783831,1.0071335118712568
2019-10-31,-0.007294175463746362,-0.0069582875457132685,-0.00463280669001978,-0.007203729368179434,1.004308337899987,1.0030201217879149,0.9947821076930046,0.9998783946141121
2019-11-30,0.006388142323687876,0.0037449578653483257,-1.4843306884317203e-05,0.0035354977801031477,1.0107240024993585,1.0067763898821072,0.9947673418368971,1.0034134624586435
2019-12-31,-0.0006851265262643116,-0.0018625159854169257,-0.0020008383575703735,-0.002066399557472332,1.010031528674514,1.0049012527622114,0.9927769731824915,1.0013400093238571
2020-01-31,0.001981675415025433,0.0053505801996991155,0.00258301527560883,0.0046595416577115,1.012033083323289,1.0102780575078938,0.9953413312694945,1.006005794810835
2020-02-29,0.0003418624982826589,0.0027435377800293947,-0.0003036343327664346,0.003233873344924102,1.0123790594814985,1.0130497935270013,0.9950391114684997,1.009259090135513
