date,cew_return,ew_return,ew_all_return,ew_top50_return,cew_cumulative,ew_cumulative,ew_all_cumulative,ew_top50_cumulative
2018-06-30,-0.00593963852354023,-0.006958255325262013,-0.006272563876782836,-0.006958255325262012,0.9940603614764598,0.9930417446747379,0.9937274361232171,0.9930417446747379
2018-07-31,-0.0033620591087777894,-0.005320792425263287,-0.0021423904709185274,-0.005141530272913472,0.990718271783483,0.9877579756817023,0.9915984839333764,0.987935990482226
2018-08-31,0.005532028094550971,0.0060232830702515614,0.0019544512369990374,0.004454158134554733,0.9961989530967743,0.9937075215741319,0.9935365148169064,0.9923364136106518
2018-09-30,0.00024300758351242845,-0.0025035750237538553,-0.0012278738342300184,-0.0027673302938181978,0.996441036997064,0.9912197002422025,0.9923165773270106,0.9895902909916082
2018-10-31,0.0010733794463444722,-0.001903153643977949,-2.4424225859329224e-05,-0.0010603661743962519,0.9975105963256707,0.9893332568577038,0.992292340762802,0.9885409629205298
2018-11-30,0.0018972561048318185,0.0023644366794435463,0.0014600662363769006,0.0025358587591028325,0.9994031293941841,0.9916724726984115,0.9937411533061652,0.9910477631800839
2018-12-31,0.003416323595672428,0.004483618382027782,0.003907388812566289,0.004494580581162466,1.0028174138867223,0.9961187536259531,0.9976240863711804,0.9955021072114776
2019-01-31,-0.006523597863083287,-0.00852958844231318,-0.0054022984568281975,-0.0093049077655698,0.9962754363484282,0.9876222706178538,0.9922346233088828,0.9862390519234444
2019-02-28,0.002706762698643463,0.004982979218078656,0.0019520934848671835,0.004809247650115672,0.9989721175371108,0.9925435718676542,0.9941715580525037,0.9909821197663594
2019-03-31,0.002495320011308331,0.003110032699570311,0.00137290493225325,0.002642156141231515,1.0014648726527402,0.995630414831911,0.9955364610880599,0.9936004492599507
2019-04-30,0.004907522867548978,0.004127104368214783,-0.0012537098714300637,0.004001445153809836,1.0063795844163306,0.9997394854660911,0.9942883471994253,0.9975762869624651
2019-05-31,0.004547606947564729,0.005697265617779201,0.004402011559894222,0.005228588339161866,1.0109562032063095,1.0054352668633733,0.9986652159976652,1.0027922027039013
2019-06-30,0.0019520582378324605,-0.00044295547575354016,0.0012175078212071084,-0.0014168825538146807,1.0129296485908663,1.0049899038064003,0.9998810987089098,1.0013713639267887
2019-07-31,0.004030009707935943,0.005139329416269169,0.0013664034103453274,0.0055898793429170045,1.0170117649081436,1.0101548779820861,1.0012473396521255,1.0069689090285916
2019-08-31,0.0033854162025094402,0.004488831007610717,0.004208811762521273,0.004452441958246956,1.0204547730152065,1.0146892925208615,1.0054614012324465,1.0114523796498007
2019-09-30,-0.002338232112774385,-0.0045737784585249755,-0.006016352339979083,-0.0042699665010815955,1.0180687128953083,1.0100483284926336,0.9994121911783831,1.0071335118712568
2019-10-31,-0.0067383450959180545,-0.0069582875457132685,-0.00463280669001978,-0.007203729368179434,1.0112086145764625,1.0030201217879149,0.9947821076930046,0.9998783946141121
2019-11-30,0.0042113442789753885,0.0037449578653483257,-1.4843306884317203e-05,0.0035354977801031477,1.0154671621903095,1.0067763898821072,0.9947673418368971,1.0034134624586435
2019-12-31,-0.0009603048295921627,-0.0018625159854169257,-0.0020008383575703735,-0.002066399557472332,1.014492004170166,1.0049012527622114,0.9927769731824915,1.0013400093238571
2020-01-31,0.0012813666640159162,0.0053505801996991155,0.00258301527560883,0.0046595416577115,1.0157919404052203,1.0102780575078938,0.9953413312694945,1.006005794810835
2020-02-29,0.0021760662891856203,0.0027435377800293947,-0.0003036343327664346,0.003233873344924102,1.0180023710035626,1.0130497935270013,0.9950391114684997,1.009259090135513
2020-03-31,0.022566734602064306,0.027657316762159247,0.012495260824090535,0.024654087833727023,1.0409753603342722,1.0410680325624175,1.0074723846964697,1.034141452390701
2020-04-30,0.010616691449893727,0.007429798623906256,-0.005910654713010003,0.0012072371585519453,1.0520270745418832,1.0488029583981426,1.001517563297636,1.035389906379226
2020-05-31,0.008995663590587183,0.011585847392716384,0.0015719213522355046,0.011480273664932046,1.0614907561926517,1.060954229419173,1.0030918701400227,1.0472764658543678
2020-06-30,-0.0012947842680039391,-0.0006743977783475647,-0.0015869891873719697,-3.103634896649124e-05,1.0601163546609018,1.0602387242439242,1.0014999741881696,1.0472439622165093
2020-07-31,0.01834457878393243,0.01936716309387439,0.01048191994628947,0.022999992175668827,1.079563742649114,1.0807725405347974,1.0119976167438212,1.0713305651535052
2020-08-31,-0.01219094645505873,-0.011841666933923854,-0.0068725245048730545,-0.012672087341659956,1.0664028388676559,1.0679743920784537,1.0050426383238762,1.0577545706600902
2020-09-30,0.006327034129210337,0.0061179008784798435,0.0035540035563150444,0.006117900878479843,1.0731500060246584,1.0745081535499443,1.0086145634347274,1.0642258082771474
2020-10-31,-0.0016267213489708024,-0.003381163206752147,-0.004674180002759228,-0.0027411490253679833,1.07140428999921,1.070875066115806,1.0039001174118292,1.061308606740017
2020-11-30,-0.03340676250768587,-0.039026350041457866,-0.02768940991934706,-0.03753547535420802,1.0356121413334904,1.0290827209349012,0.9761027155427323,1.0214718836885184
2020-12-31,-0.00017561267276450834,-0.000892798914139991,-0.0032029363968805263,0.0014084806431447245,1.0354302747174033,1.0281639569990904,0.9729763206280266,1.0229106070642102
2021-01-31,-0.0016555924699388608,-0.005806997315873894,-0.0009790011346398697,-0.005110376998774222,1.0337160241514345,1.0221934116605185,0.9720237757061541,1.017683148226067
2021-02-28,-0.008275679226601279,-0.014394007528483127,-0.01081697592006789,-0.013637772535084337,1.0251613219241595,1.007479951997511,0.9615094179306071,1.0038042169377714
2021-03-31,0.002550900285905411,-0.00144791666058826,0.005860643111107293,-0.0016994818426340225,1.027776406233355,1.0060212049898052,0.9671444814770668,1.0020982698975263
2021-04-30,0.007629635555002427,0.011685236407348367,0.008115454244823869,0.011352742074468666,1.0356179656449458,1.0177768006009165,0.9749932982646278,1.013474833088944
2021-05-31,0.0032630088736794165,6.712560998063065e-05,0.000250628579491276,0.0003789390220835144,1.038997196256587,1.017845119489481,0.9752376594499853,1.0138588782511009
2021-06-30,0.00507801451320075,0.011869495758990949,0.004714347221479243,0.012773041608285346,1.044273239098353,1.0299264278185711,0.9798352684000953,1.0268089398879319
2021-07-31,0.009709936925422975,0.012415015598526464,0.013101054453552046,0.013744400215241094,1.054413066382905,1.0427129804852735,0.9926721436069158,1.0409218129023392
2021-08-31,0.001978270458052616,0.003146982031081183,0.004159583405867299,0.0032685710713475564,1.056498980602715,1.0459943794984359,0.9968012461829298,1.0443241398275265
2021-09-30,-0.011808252990957712,-0.014970789991175041,-0.008921636364250998,-0.016399249086428945,1.0440235733550691,1.0303350173110153,0.9879081479370534,1.0271980081315242
