case,use_cluster_dedup,n_clusters,per_cluster_keep,turnover_alpha,status,error,runtime_sec,avg_turnover,cagr_cew,net_cagr_cew,sharpe_cew,mdd_cew,calmar_cew,cagr_ew,sharpe_ew,funnel_a_cagr,funnel_b_cagr,funnel_c_cagr,oos_pctile_value,strict_jaccard,is_oos_rank_corr,deflation_ratio,funnel_verdict,oos_pctile_flag,verdict
baseline,False,,,1.0,OK,,2229.0345368385315,0.045439273499702136,0.02306648220467844,0.022521210922682014,0.6322549029410414,-0.07912949676162899,0.2915029558972717,0.025522065729942645,0.6752153118104052,0.01114356452640819,0.025522065729942645,0.02306648220467844,0.472131789274636,0.8010374139426618,0.13627272712986674,0.3863722600209348,OPT_OVERFIT (B>C>A),OK,OPTIMIZATION_OVERFIT
cluster_18,True,18.0,3.0,1.0,OK,,2219.51643037796,0.08424641773596687,0.013907328364235472,0.01289637135140387,0.6925276560822854,-0.029263456230034485,0.4752455846265253,0.013754059214412306,0.690850734267188,0.01114356452640819,0.013754059214412306,0.013907328364235472,0.5004043942037893,0.6457323568848783,0.12085903400750038,0.36327135435342,OK (C>B>A),OK,OK
cluster_12,True,12.0,3.0,1.0,OK,,2248.6902244091034,0.09797277802941184,0.020823776704933294,0.019648103368580354,0.8658462577709378,-0.03414108028363328,0.6099331518492078,0.02119475793538883,0.8649250183129733,0.01114356452640819,0.02119475793538883,0.020823776704933294,0.49044115784047854,0.6144708238873889,0.16325783681011233,0.49107507753890645,OPT_OVERFIT (B>C>A),OK,OPTIMIZATION_OVERFIT
cluster_24,True,24.0,3.0,1.0,OK,,2260.144986152649,0.07321170291060922,0.01230388957055828,0.01142534913563097,0.6109623511505198,-0.03966650853783617,0.31018332654163727,0.012247616482971901,0.6112012540361216,0.01114356452640819,0.012247616482971901,0.01230388957055828,0.5014000411252164,0.6814043961060049,0.10931284592041711,0.31342658001842966,OK (C>B>A),OK,OK
smooth_0.7,False,,,0.7,OK,,2253.00239944458,0.04005181964199564,0.02314687084708056,0.02266624901137661,0.6325368777107879,-0.07963832279314838,0.29064990365507776,0.025522065729942645,0.6752153118104052,0.01114356452640819,0.025522065729942645,0.02314687084708056,0.4736367176820899,0.8378135660287015,0.13627272712986674,0.38771880004248266,OPT_OVERFIT (B>C>A),OK,OPTIMIZATION_OVERFIT
smooth_0.5,False,,,0.5,OK,,2260.1303033828735,0.036620076210125294,0.023208714003983166,0.022769273089461663,0.6326399558378939,-0.0799876483284992,0.2901537235932716,0.025522065729942645,0.6752153118104052,0.01114356452640819,0.025522065729942645,0.023208714003983166,0.4736367176820899,0.8378135660287015,0.13627272712986674,0.3887546962006946,OPT_OVERFIT (B>C>A),OK,OPTIMIZATION_OVERFIT
combo_18_0.7,True,18.0,3.0,0.7,OK,,2278.3679049015045,0.074486661428905,0.014144372246069459,0.013250532308922598,0.7060238056018304,-0.028962516122851705,0.48836821310940637,0.013754059214412306,0.690850734267188,0.01114356452640819,0.013754059214412306,0.014144372246069459,0.5004215066183227,0.7214861039857895,0.12085903400750038,0.36946314401565816,OK (C>B>A),OK,OK
combo_18_0.5,True,18.0,3.0,0.5,OK,,2280.3688321113586,0.06844915905678434,0.01431472448094362,0.013493334572262207,0.7144950650247824,-0.02879784429252886,0.4970762511087452,0.013754059214412306,0.690850734267188,0.01114356452640819,0.013754059214412306,0.01431472448094362,0.5004215066183227,0.7214861039857895,0.12085903400750038,0.37391289061393446,OK (C>B>A),OK,OK
